"rca","Sistema Eléctrico","estado","Comuna","nombre","Combustible","Potencia MW","Unidades","Coordenada Norte","Uso","Región","Provincia","Propietario","Coordenada Este","Datum"
"RCA 1124/06 / RCA 1632/06","SIC","EN OPERACION","PUCHUNCAVI","NUEVA VENTANAS","CARBON","272,00","1","267351,51","19","V REGION DE VALPARAISO","VALPARAISO","AES GENER","267351,51","WGS/84"
"RCA 120/2004","SIC","EN OPERACION","CABRERO","LOS PINOS","DIESEL","92,10","1","204463,00","19","VIII REGION DEL BIO/BIO","BIO/BIO","COLBUN SA","204463,00","WGS/84"
"SIN RCA","SIC","EN OPERACION","EL QUISCO","EL TOTORAL","DIESEL","3,20","3","254834,11","19","V REGION DE VALPARAISO","SAN ANTONIO","TECNORED","254834,11","WGS/84"
"SIN RCA","SIC","EN OPERACION","LLAILLAY","LAS VEGAS","DIESEL","2,32","2","311746,66","19","V REGION DE VALPARAISO","SAN FELIPE","TECNORED","311746,66","WGS/84"
"SIN RCA","SIC","EN OPERACION","LINARES","LINARES NORTE","DIESEL","0,48","1","261157,96","19","VII REGION DEL MAULE","LINARES","TECNORED","261157,96","WGS/84"
"SIN RCA","SIC","EN OPERACION","VALPARAISO","PLACILLA","DIESEL","3,20","3","261203,86","19","V REGION DE VALPARAISO","VALPARAISO","TECNORED","261203,86","WGS/84"
"SIN RCA","SIC","EN OPERACION","CASABLANCA","QUINTAY","DIESEL","3,20","3","252117,72","19","V REGION DE VALPARAISO","VALPARAISO","TECNORED","252117,72","WGS/84"
"SIN RCA","SIC","EN OPERACION","NIQUEN","SAN GREGORIO","DIESEL","0,48","1","246817,15","19","VIII REGION DEL BIO/BIO","NUBLE","TECNORED","246817,15","WGS/84"
"RCA 23/2007","SIC","EN OPERACION","MONTE PATRIA","MONTE PATRIA","DIESEL","9,00","8","313324,00","19","IV REGION DE COQUIMBO","LIMARI","ELEKTRA GENERACION","313324,00","WGS/84"
"RCA 22/2007","SIC","EN OPERACION","PUNITAQUI","PUNITAQUI","DIESEL","9,00","6","285760,07","19","IV REGION DE COQUIMBO","LIMARI","ELEKTRA GENERACION","285760,07","WGS/84"
