PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh,Year of Data
1016142,Río Bravo IV    ( PIE )1/,Natural Gas,500,Valle Hermoso,CCGT,,,,1885,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,57.1,,Operating,Mexico,,,,,,Valle Hermoso,,,,,,,,2007
1016143,Monterrey  III    ( PIE )1/,Natural Gas,449,S. N. Garza,CCGT,,,,3147,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,80,,Operating,Mexico,,,,,,S. N. Garza,,,,,,,,2007
1016144,Altamira II    ( PIE )1/,Natural Gas,495,Altamira,CCGT,,,,3083,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,71.1,,Operating,Mexico,,,,,,Altamira,,,,,,,,2007
1016145,Altamira III y IV    ( PIE )1/,Natural Gas,1036,Altamira,CCGT,,,,5932,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,65.4,,Operating,Mexico,,,,,,Altamira,,,,,,,,2007
1016146,El Sauz (Bajío)    ( PIE )1/,Natural Gas,565,S. Luis de la Paz,CCGT,,,,4698,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,94.9,,Operating,Mexico,,,,,,S. Luis de la Paz,,,,,,,,2007
1016147,Mexicali    ( PIE )1/,Natural Gas,489,Mexicali,CCGT,,,,2191,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,51.1,,Operating,Mexico,,,,,,Mexicali,,,,,,,,2007
1016148,Chihuahua III    ( PIE )1/,Natural Gas,259,Juárez,CCGT,,,,1100,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,48.5,,Operating,Mexico,,,,,,Juárez,,,,,,,,2007
1016149,Naco Nogales    ( PIE )1/,Natural Gas,258,Agua Prieta,CCGT,,,,1819,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,80.5,,Operating,Mexico,,,,,,Agua Prieta,,,,,,,,2007
1016173,Baja California III,Natural Gas,217,,CCGT,2015,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016174,TG Baja California,Natural Gas,135,,OCGT,,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016175,CC Agua Prieta,Natural Gas,394,,CCGT,2013,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016150,Dulces Nombres II,Natural Gas,"1,143",,CCGT,2006,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016151,Valladolid (Felipe Carrillo Puerto),Natural Gas,841,Yucatan,CCGT,2006,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016152,Tuxpan V,Natural Gas,548,,CCGT,2006,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016153,Tamazunchale,Natural Gas,161,,CCGT,2007,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016154,Norte,Natural Gas,546,,CCGT,2010,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016155,CCC Norte II,Natural Gas,553,,CCGT,2013,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016083,Tula (Francisco Pérez Ríos),Natural Gas,1989,Tula,CCGT,,,,11703,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,67.2,,Operating,Mexico,,20.05906,-99.2771,Oil,,Tula,,,,,,,,2012
1016088,Salamanca,Natural Gas,1632,Salamanca,CCGT,2015,,,,"Originally constructed in 1971, this plant was recently retrofitted and transformed into a CCGT",CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,33.6,,Operating,Mexico,,,,Oil,,Salamanca,,,,,,,,2012
1016101,Mérida II,Natural Gas,198,Mérida,Sub-critical Thermal,,,,1017,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,58.6,,Operating,Mexico,,,,Oil,,Mérida,,,,,,,,2012
1016106,Laguna Verde,Nuclear,1475,Alto Lucero,BWR,,,,10805,Unit upgrade in 2015 by 110 MW,CFE,http://www.cfe.gob.mx/inversionistas/informacionareguladores/Documents/Informe%20Anual/Informe-Anual-2015-CFE-Acc.pdf,,,,,90.4,,Operating,Mexico,,,,,,Alto Lucero,,,,,,,,2012
1016086,Manzanillo (Manuel Álvarez Moreno),Oil,1200,Manzanillo,Sub-critical Thermal,,,,5846,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,55.6,,Operating,Mexico,,,,,,Manzanillo,,,,,,,,2012
1016087,Manzanillo II,Oil,700,Manzanillo,Sub-critical Thermal,,,,4331,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,70.6,,Operating,Mexico,,,,,,Manzanillo,,,,,,,,2012
1016089,Villa de Reyes,Oil,700,Villa de Reyes,Sub-critical Thermal,,,,3243,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,52.9,,Operating,Mexico,,,,,,Villa de Reyes,,,,,,,,2012
1016095,Lerdo (Guadalupe Victoria),Oil,320,Lerdo,Sub-critical Thermal,,,,2305,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,82.2,,Operating,Mexico,,,,,,Lerdo,,,,,,,,2012
1016096,Puerto Libertad,Oil,632,Pitiquito,Sub-critical Thermal,,,,3518,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,63.5,,Operating,Mexico,,,,,,Pitiquito,,,,,,,,2012
