PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,Year of Data
1008207,Zahedan,Oil,100,,OCGT,1986-2007,9,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008208,Zarand,Oil,60,,Sub-Critical Thermal,1973,2,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008209,Zargan,Natural Gas,43,,CCGT,1975-1998,6,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008210,Zayandeh Rood,Hydro,56,,Dam,1970,3,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008211,Zobahan,Natural Gas,162,,Sub-Critical Thermal,1970-1978,5,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008212,Zobahan (gas),Natural Gas,139,,OCGT,1975,2,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1023916,Bushehr,Nuclear,1000,,PWR,2011,1,Nuclear Power Production and Development Company of Iran,3198.24,2015,IAEA,https://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310,,,,,,,Operating,Iran,,,,,,,,,,,,2015
1008146,Kahak,Wind,100,,Wind Turbine,2014,8,,,,CDM,https://cdm.unfccc.int/Projects/DB/RINA1436349705.61/view,,,,,,,Operating,Iran,,36.130890,49.726174,,,,,,,,,
1008113,Abadan C.C.,Natural Gas,820,,CCGT,2002,4,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008128,Damavand C.C.,Natural Gas,2800,,CCGT,2006-2016,18,Moshanir,,,Moshanir,http://www.moshanir.co.ir/en/damavand.aspx,,,,,,,Operating,Iran,,,,,,,,,,,,
